id_casa|url|precos|enderecos_apartamentos|metragems|quartos|banheiros|garagens|tipo_imovel|bairro|preco_por_metro
2544963579|https://www.vivareal.com.br/imovel/apartamento-3-quartos-nova-alianca-bairros-ribeirao-preto-com-garagem-133m2-venda-RS930000-id-2544963579/|930000.00|Rua Catarina Aparecida Navis Silva, 1 - Nova Aliança, Ribeirão Preto - SP|133|3|5|2|apartamento|Nova Aliança|6992.48
2545248737|https://www.vivareal.com.br/imovel/casa-3-quartos-vila-tamandare-bairros-ribeirao-preto-com-garagem-200m2-venda-RS460000-id-2545248737/|460000.00|Rua Dom Alberto Gonçalves, 1243 - Vila Tamandaré, Ribeirão Preto - SP|200|3|3|2|casa|Vila Tamandaré|2300.00
2545248909|https://www.vivareal.com.br/imovel/casa-3-quartos-sumarezinho-bairros-ribeirao-preto-com-garagem-250m2-venda-RS430000-id-2545248909/|430000.00|Rua José Hanna, 48 - Sumarezinho, Ribeirão Preto - SP|250|3|2|2|casa|Sumarezinho|1720.00
2545249378|https://www.vivareal.com.br/imovel/casa-4-quartos-jardim-paulista-bairros-ribeirao-preto-com-garagem-209m2-venda-RS550000-id-2545249378/|550000.00|Rua Cesário Motta, 403 - Jardim Paulista, Ribeirão Preto - SP|209|4|4|2|casa|Jardim Paulista|2631.58
2545249425|https://www.vivareal.com.br/imovel/casa-3-quartos-centro-bairros-ribeirao-preto-com-garagem-162m2-venda-RS350000-id-2545249425/|350000.00|Rua Barão do Amazonas, 2355 - Centro, Ribeirão Preto - SP|162|3|2|2|casa|Centro|2160.49
2545603839|https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-botanico-bairros-ribeirao-preto-com-garagem-93m2-venda-RS531700-id-2545603839/|531700.00|Rua Pedro Degani, 110 - Jardim Botânico, Ribeirão Preto - SP|93|3|2|2|apartamento|Jardim Botânico|5717.20
2545779901|https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-presidente-medici-bairros-ribeirao-preto-com-garagem-94m2-venda-RS383000-id-2545779901/|383000.00|Rua Aldo Focosi, 301 - Jardim Presidente Medici, Ribeirão Preto - SP|94|3|2|1|apartamento|Jardim Presidente Medici|4074.47
2546106873|https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-ana-maria-bairros-ribeirao-preto-com-garagem-74m2-venda-RS300000-id-2546106873/|300000.00|Rua Antônio Deloiágono, 489 - Vila Ana Maria, Ribeirão Preto - SP|74|2|2|1|apartamento|Vila Ana Maria|4054.05
2546416290|https://www.vivareal.com.br/imovel/apartamento-2-quartos-ipiranga-bairros-ribeirao-preto-com-garagem-48m2-venda-RS170000-id-2546416290/|170000.00|Rua Bonfim, 1047 - Ipiranga, Ribeirão Preto - SP|48|2|1|1|apartamento|Ipiranga|3541.67
2548299378|https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-olhos-d-agua-ii-bairros-ribeirao-preto-com-garagem-118m2-venda-RS835000-id-2548299378/|835000.00|Avenida Deputado Sérgio Cardoso de Almeida, 100 - Jardim Olhos d Agua II, Ribeirão Preto - SP|118|3|4|2|apartamento|Jardim Olhos D Agua Ii|7076.27
2548349919|https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-do-golf-bairros-ribeirao-preto-com-garagem-170m2-venda-RS1200000-id-2548349919/|1200000.00|Alameda Senador Carlos Jereissati, 60 - Vila do Golf, Ribeirão Preto - SP|170|3|5|3|apartamento|Vila Do Golf|7058.82
2548904964|https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-olhos-d-agua-bairros-ribeirao-preto-com-garagem-136m2-venda-RS970000-id-2548904964/|970000.00|Avenida Deputado Sérgio Cardoso de Almeida, 1985 - Jardim Olhos d Agua, Ribeirão Preto - SP|136|3|5|2|apartamento|Jardim Olhos D Agua|7132.35
2549111867|https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-nova-alianca-sul-bairros-ribeirao-preto-com-garagem-80m2-venda-RS474000-id-2549111867/|474000.00|Rua Manoel Lopes Velludo, 100 - Jardim Nova Aliança Sul, Ribeirão Preto - SP|80|2|2|2|apartamento|Jardim Nova Aliança Sul|5925.00
2549223110|https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-botanico-bairros-ribeirao-preto-com-garagem-245m2-venda-RS1600000-id-2549223110/|1600000.00|Rua Luciana Mara Ignácio, 1040 - Jardim Botânico, Ribeirão Preto - SP|245|4|6|4|apartamento|Jardim Botânico|6530.61
2549223868|https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-presidente-medici-bairros-ribeirao-preto-com-garagem-83m2-venda-RS380000-id-2549223868/|380000.00|Rua Aldo Focosi, 301 - Jardim Presidente Medici, Ribeirão Preto - SP|83|3|2|1|apartamento|Jardim Presidente Medici|4578.31
2549497756|https://www.vivareal.com.br/imovel/apartamento-2-quartos-quinta-da-primavera-bairros-ribeirao-preto-com-garagem-78m2-venda-RS700000-id-2549497756/|700000.00|Rua Maria Spagnol Gabaldo, 1700 - Quinta da Primavera, Ribeirão Preto - SP|78|2|2|2|apartamento|Quinta Da Primavera|8974.36
2549713959|https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-palma-travassos-bairros-ribeirao-preto-com-garagem-80m2-venda-RS295000-id-2549713959/|295000.00|Rua Alexandre Gomes de Abreu, 350 - Jardim Palma Travassos, Ribeirão Preto - SP|80|2|2|2|apartamento|Jardim Palma Travassos|3687.50
2550058958|https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-iraja-bairros-ribeirao-preto-com-garagem-48m2-venda-RS235000-id-2550058958/|235000.00|Rua Doutor José Guimarães, 86 - Jardim Irajá, Ribeirão Preto - SP|48|1|1|1|apartamento|Jardim Irajá|4895.83
2550615976|https://www.vivareal.com.br/imovel/casa-2-quartos-jardim-cristo-redentor-bairros-ribeirao-preto-com-garagem-80m2-venda-RS220000-id-2550615976/|220000.00|Rua Terezinha Alves de Oliveira, 960 - Jardim Cristo Redentor, Ribeirão Preto - SP|80|2|1|2|casa|Jardim Cristo Redentor|2750.00
2551312260|https://www.vivareal.com.br/imovel/apartamento-2-quartos-residencial-jequitiba-bairros-ribeirao-preto-com-garagem-47m2-venda-RS171000-id-2551312260/|171000.00|Avenida Professora Edul Rangel Rabello, 1300 - Residencial Jequitiba, Ribeirão Preto - SP|47|2|1|1|apartamento|Residencial Jequitiba|3638.30
2551928717|https://www.vivareal.com.br/imovel/casa-6-quartos-adelino-simioni-bairros-ribeirao-preto-com-garagem-232m2-venda-RS330000-id-2551928717/|330000.00|Rua Dino Martinelli, 165 - Adelino Simioni, Ribeirão Preto - SP|232|6|3|4|casa|Adelino Simioni|1422.41
2552680741|https://www.vivareal.com.br/imovel/apartamento-2-quartos-nova-alianca-bairros-ribeirao-preto-com-garagem-70m2-venda-RS325000-id-2552680741/|325000.00|Rua Arnaud Capuzzo, 180 - Nova Aliança, Ribeirão Preto - SP|70|2|2|1|apartamento|Nova Aliança|4642.86
2552681070|https://www.vivareal.com.br/imovel/apartamento-1-quartos-nova-alianca-bairros-ribeirao-preto-com-garagem-43m2-venda-RS210000-id-2552681070/|210000.00|Rua Horácio Pessini, 180 - Nova Aliança, Ribeirão Preto - SP|43|1|1|1|apartamento|Nova Aliança|4883.72
2552681443|https://www.vivareal.com.br/imovel/apartamento-2-quartos-nova-alianca-bairros-ribeirao-preto-com-garagem-70m2-venda-RS380000-id-2552681443/|380000.00|Rua Arnaud Capuzzo, 180 - Nova Aliança, Ribeirão Preto - SP|70|2|2|1|apartamento|Nova Aliança|5428.57
2553506587|https://www.vivareal.com.br/imovel/casa-3-quartos-campos-eliseos-bairros-ribeirao-preto-com-garagem-224m2-venda-RS384000-id-2553506587/|384000.00|Rua Amazonas, 813 - Campos Eliseos, Ribeirão Preto - SP|224|3|3|6|casa|Campos Eliseos|1714.29
2553511041|https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-palma-travassos-bairros-ribeirao-preto-com-garagem-73m2-venda-RS287000-id-2553511041/|287000.00|Rua Marisa, 559 - Jardim Palma Travassos, Ribeirão Preto - SP|73|2|2|1|apartamento|Jardim Palma Travassos|3931.51
2553511151|https://www.vivareal.com.br/imovel/casa-4-quartos-vila-tiberio-bairros-ribeirao-preto-com-garagem-162m2-venda-RS460000-id-2553511151/|460000.00|Rua Doutor Jorge Lobato, 354 - Vila Tibério, Ribeirão Preto - SP|162|4|3|2|casa|Vila Tibério|2839.51
2553511814|https://www.vivareal.com.br/imovel/apartamento-1-quartos-nova-alianca-bairros-ribeirao-preto-com-garagem-64m2-venda-RS340000-id-2553511814/|340000.00|Rua Marcos Markarian, 325 - Nova Aliança, Ribeirão Preto - SP|64|1|2|1|apartamento|Nova Aliança|5312.50
2553511815|https://www.vivareal.com.br/imovel/apartamento-3-quartos-alto-da-boa-vista-bairros-ribeirao-preto-com-garagem-71m2-venda-RS390000-id-2553511815/|390000.00|Avenida Caramuru, 2550 - Alto da Boa Vista, Ribeirão Preto - SP|71|3|2|1|apartamento|Alto Da Boa Vista|5492.96
2553511816|https://www.vivareal.com.br/imovel/casa-4-quartos-city-ribeirao-bairros-ribeirao-preto-com-garagem-561m2-venda-RS1383000-id-2553511816/|1383000.00|Praça Rotary Club, 47 - City Ribeirão, Ribeirão Preto - SP|561|4|6|8|casa|City Ribeirão|2465.24
2553511820|https://www.vivareal.com.br/imovel/casa-3-quartos-parque-dos-bandeirantes-bairros-ribeirao-preto-com-garagem-329m2-venda-RS850000-id-2553511820/|850000.00|Rua Afonso Schimidt, 105 - Parque dos Bandeirantes, Ribeirão Preto - SP|329|3|5|4|casa|Parque Dos Bandeirantes|2583.59
2553512403|https://www.vivareal.com.br/imovel/casa-4-quartos-residencial-e-comercial-palmares-bairros-ribeirao-preto-com-garagem-243m2-venda-RS810000-id-2553512403/|810000.00|Rua Manoel dos Santos, 1516 - Residencial e Comercial Palmares, Ribeirão Preto - SP|243|4|3|4|casa|Residencial E Comercial Palmares|3333.33
2553512405|https://www.vivareal.com.br/imovel/casa-9-quartos-jardim-sao-luiz-bairros-ribeirao-preto-com-garagem-165m2-venda-RS918000-id-2553512405/|918000.00|Rua Doutor Paulo Barra, 1040 - Jardim São Luiz, Ribeirão Preto - SP|165|9|3|4|casa|Jardim São Luiz|5563.64
2553512409|https://www.vivareal.com.br/imovel/casa-2-quartos-parque-residencial-candido-portinari-bairros-ribeirao-preto-com-garagem-154m2-venda-RS302000-id-2553512409/|302000.00|Avenida Professora Dina Rizzi, 2378 - Parque Residencial Cândido Portinari, Ribeirão Preto - SP|154|2|2|1|casa|Parque Residencial Cândido Portinari|1961.04
2553512596|https://www.vivareal.com.br/imovel/casa-5-quartos-parque-residencial-candido-portinari-bairros-ribeirao-preto-com-garagem-264m2-venda-RS490000-id-2553512596/|490000.00|Avenida Professora Dina Rizzi, 2376 - Parque Residencial Cândido Portinari, Ribeirão Preto - SP|264|5|3|3|casa|Parque Residencial Cândido Portinari|1856.06
2553934667|https://www.vivareal.com.br/imovel/apartamento-2-quartos-quinta-da-primavera-bairros-ribeirao-preto-com-garagem-62m2-venda-RS551000-id-2553934667/|551000.00|Rua Maria Spagnol Gabaldo, 1700 - Quinta da Primavera, Ribeirão Preto - SP|62|2|2|2|apartamento|Quinta Da Primavera|8887.10
2554439503|https://www.vivareal.com.br/imovel/casa-3-quartos-vila-elisa-bairros-ribeirao-preto-com-garagem-154m2-venda-RS298000-id-2554439503/|298000.00|Rua Tambaú, 3 - Vila Elisa, Ribeirão Preto - SP|154|3|3|2|casa|Vila Elisa|1935.06
